              Procedure           Image            Address        Calls Instructions
             inflateEnd /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b7300            1           33
                inflate /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b4ed0          367       332879
          inflateInit2_ /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b4d30            1           41
          inflateReset2 /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b4c50            1           50
           inflateReset /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b4bf0            1           19
       inflateResetKeep /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b4b10            1           40
          deflateInit2_ /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b1d20            1          144
             deflateEnd /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b1c00            1           68
                deflate /lib/x86_64-linux-gnu/libz.so.1       7f2aef2b0050          101        10772
           deflateReset /lib/x86_64-linux-gnu/libz.so.1       7f2aef2afae0            1           45
       deflateResetKeep /lib/x86_64-linux-gnu/libz.so.1       7f2aef2af9b0            1           64
                  crc32 /lib/x86_64-linux-gnu/libz.so.1       7f2aef2acf80           18           36
                crc32_z /lib/x86_64-linux-gnu/libz.so.1       7f2aef2acb20           18        10607
                adler32 /lib/x86_64-linux-gnu/libz.so.1       7f2aef2ac740          472          944
              adler32_z /lib/x86_64-linux-gnu/libz.so.1       7f2aef2ac070          472      3526736
                  .text /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abf90            1           37
               .plt.got /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abf80            1            1
             memcpy@plt /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abf20          502          504
             memset@plt /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abee0            1            3
                   .plt /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abe60            2            4
                  _init /lib/x86_64-linux-gnu/libz.so.1       7f2aef2abe40            1            6
                  _fini /usr/lib/x86_64-linux-gnu/libxml2.so.2       7f2aef62b4b0            1            3
                  _init /usr/lib/x86_64-linux-gnu/libxml2.so.2       7f2aef4f4240            1            6
                  _fini /usr/lib/x86_64-linux-gnu/libX11.so.6       7f2aef927828            1            3
               .plt.got /usr/lib/x86_64-linux-gnu/libX11.so.6       7f2aef8a07b0            1            1
                  _init /usr/lib/x86_64-linux-gnu/libX11.so.6       7f2aef89ff68            1            6
                  _fini /usr/lib/x86_64-linux-gnu/libXext.so.6       7f2aefbcd3a0            1            3
                  .text /usr/lib/x86_64-linux-gnu/libXext.so.6       7f2aefbc3590            1           38
     __cxa_finalize@plt /usr/lib/x86_64-linux-gnu/libXext.so.6       7f2aefbc3580            1            3
                   .plt /usr/lib/x86_64-linux-gnu/libXext.so.6       7f2aefbc3290            1            2
                  _init /usr/lib/x86_64-linux-gnu/libXext.so.6       7f2aefbc3268            1            6
                  .fini /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf82b8            1            3
    png_write_chunk_end /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf54b0            5          230
   png_write_chunk_data /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf53e0            5           85
          png_write_sig /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf5340            1           24
       png_save_uint_16 /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf5330            3           12
       png_save_uint_32 /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf5270           19          190
png_set_compression_mem_level /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf3a80            1            4
png_set_compression_level /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf35a0            1            4
         png_set_filter /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf3360            1           24
png_destroy_write_struct /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf3180            1           44
          png_write_row /usr/lib/x86_64-linux-gnu/libpng16.so.16       7f2aefdf2800          100         6707
